id,stimulus,meta reaction,comment
146,shallow,FALSE,
152,other,FALSE,
158,other,FALSE,
164,shallow,TRUE,
170,shallow,FALSE,
176,other,FALSE,
141,shallow,FALSE,
147,shallow,FALSE,
153,other,TRUE,
159,other,FALSE,
165,shallow,TRUE,
177,shallow,FALSE,
148,nonassignable,TRUE,
154,nonassignable,FALSE,
160,nonassignable,FALSE,
166,nonassignable,TRUE,
172,nonassignable,FALSE,
178,nonassignable,TRUE,
143,nonassignable,TRUE,
149,nonassignable,TRUE,
155,nonassignable,FALSE,
161,nonassignable,TRUE,
167,nonassignable,TRUE,
173,nonassignable,TRUE,
144,other,FALSE,
150,nonassignable,TRUE,
156,nonassignable,TRUE,
162,deep,FALSE,
168,deep,FALSE,
174,other,FALSE,
145,other,TRUE,
151,other,TRUE,
157,shallow,FALSE,
163,other,FALSE,
169,shallow,FALSE,
175,deep,FALSE,
